aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,지역코드,계약일,평단가_만원
,동대문맨션,11110-31,0578,0005,1973,개인,,,58960,21,7,2025,중개거래,서울 종로구,122.71,7,578-5,1,N,25.10.24,창신길,00020,00000,4100453,01,11110,0,11110,개인,17400,창신동,11110,2025-07-21,1588.0
101,롯데낙천대,11110-71,0072,0000,2001,개인,,,140000,16,7,2025,중개거래,서울 종로구,133.34,13,72,1,N,25.09.30,평창문화로,00140,00000,3100023,01,11110,0,11110,개인,18300,평창동,11110,2025-07-16,3471.0
삼전솔하임4차,삼전솔하임4차,11110-2368,0318,0002,2014,개인,,,12600,29,7,2025,중개거래,서울 종로구,15.09,12,318-2,1,N,25.12.29,지봉로4길,00013,00000,4100389,00,11110,0,11110,개인,17500,숭인동,11110,2025-07-29,2760.0
111,현대,11110-90,0082,0000,2000,개인,,,132950,28,7,2025,중개거래,서울 종로구,84.92,21,82,1,N,25.11.20,통일로,00246,00020,3000008,06,11110,0,11110,개인,18700,무악동,11110,2025-07-28,5176.0
현대뜨레비앙,현대뜨레비앙,11110-102,0055,0000,2003,개인,,,41000,24,7,2025,중개거래,서울 종로구,43.98,6,55,1,N,25.09.30,돈화문로11가길,00059,00000,4100050,03,11110,0,11110,개인,13300,익선동,11110,2025-07-24,3082.0
,하림빌라트,11110-131,0473,0000,1998,개인,,,29500,30,7,2025,중개거래,서울 종로구,47.63,1,473,1,N,25.08.21,숭인동길,00083,00015,4100204,01,11110,0,11110,개인,17500,숭인동,11110,2025-07-30,2047.0
102,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인,,,200000,31,7,2025,중개거래,"서울 서대문구, 서울 종로구",136.4,1,9,1,N,25.10.31,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동,11110,2025-07-31,4847.0
청운현대(아)104동,청운현대,11110-4,0056,0045,2000,개인,,,99000,26,7,2025,중개거래,서울 종로구,68.43,4,56-45,1,N,25.08.22,자하문로33길,00043,00000,4100285,01,11110,0,11110,개인,10100,청운동,11110,2025-07-26,4783.0
102,창신쌍용1,11110-37,0702,0000,1992,개인,,,69000,21,7,2025,중개거래,"서울 성북구, 서울 종로구",79.87,1,702,1,N,25.11.10,동망산길,00019,00000,4100065,01,11110,0,11110,개인,17400,창신동,11110,2025-07-21,2856.0
101,두산,11110-34,0232,0000,1999,개인,,,87000,22,7,2025,중개거래,서울 종로구,59.95,6,232,1,N,25.10.01,지봉로5길,00007,00000,4100390,01,11110,0,11110,개인,17400,창신동,11110,2025-07-22,4797.0
302,경희궁자이(3단지),11110-2446,0233,0000,2017,개인,,,251500,26,7,2025,중개거래,서울 종로구,84.8359,5,233,1,N,25.12.09,경교장길,00035,00000,4100002,01,11110,,11110,개인,17700,평동,11110,2025-07-26,9800.0
,효성쥬얼리시티,11110-2155,0048,0002,2006,개인,,,95000,14,7,2025,중개거래,서울 종로구,98.39,8,48-2,1,N,25.09.15,종로,00183,00000,3100013,09,11110,0,11110,개인,15700,인의동,11110,2025-07-14,3192.0
106,광화문스페이스본(106동),11110-2204,0009,0001,2008,개인,,,204000,12,7,2025,중개거래,서울 종로구,150.4,6,9-1,1,N,25.10.17,경희궁길,00057,00000,4100010,01,11110,0,11110,개인,11500,사직동,11110,2025-07-12,4484.0
101,삼성,11110-73,0596,0000,1998,개인,,,69500,3,7,2025,중개거래,서울 종로구,59.97,3,596,1,N,25.09.10,평창문화로,00172,00000,3100023,00,11110,,11110,개인,18300,평창동,11110,2025-07-03,3831.0
101,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인,,,169000,31,7,2025,중개거래,서울 종로구,108.07,4,9,1,N,25.09.15,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동,11110,2025-07-31,5170.0
202,창신쌍용2,11110-91,0703,0000,1993,개인,,,65000,29,7,2025,중개거래,서울 종로구,64.66,5,703,1,N,25.10.29,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동,11110,2025-07-29,3323.0
나동,대성아파트,11110-52,0041,0001,1971,개인,,,25000,18,7,2025,중개거래,서울 서대문구,19.27,4,41-1,1,N,25.08.04,사직로,00021,00000,3100005,07,11110,0,11110,개인,18100,행촌동,11110,2025-07-18,4289.0
105,창신쌍용1,11110-37,0702,0000,1992,개인,,,73600,26,7,2025,중개거래,서울 종로구,79.87,11,702,1,N,25.08.29,동망산길,00019,00000,4100065,01,11110,0,11110,개인,17400,창신동,11110,2025-07-26,3046.0
,경희궁자이(3단지),11110-2446,0233,0000,2017,개인,25.08.04,O,251500,26,7,2025,중개거래,서울 종로구,84.8359,5,233,1,N,,경교장길,00035,00000,4100002,01,11110,,11110,개인,17700,평동,11110,2025-07-26,9800.0
101,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인,,,160000,12,7,2025,중개거래,서울 종로구,94.51,6,9,1,N,25.09.12,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동,11110,2025-07-12,5597.0
104,창신쌍용1,11110-37,0702,0000,1992,개인,,,70000,9,7,2025,직거래,,79.87,7,702,1,N,25.07.24,동망산길,00019,00000,4100065,01,11110,0,11110,개인,17400,창신동,11110,2025-07-09,2897.0
1,밀레니엄,11110-2292,0179,0005,2017,개인,,,69000,9,7,2025,직거래,,84.41,1,179-5,1,N,25.08.14,평창12길,00014,00004,4100488,01,11110,0,11110,개인,18300,평창동,11110,2025-07-09,2702.0
,동대문맨션,11110-31,0578,0005,1973,개인,25.10.15,O,59000,21,7,2025,중개거래,서울 종로구,122.71,7,578-5,1,N,,창신길,00020,00000,4100453,01,11110,0,11110,개인,17400,창신동,11110,2025-07-21,1589.0
201,창신쌍용2,11110-91,0703,0000,1993,개인,,,61500,15,7,2025,중개거래,"서울 성북구, 서울 종로구",54.7,10,703,1,N,25.09.05,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동,11110,2025-07-15,3717.0
101,종로센트레빌,11110-2224,0002,0001,2008,개인,,,83000,5,7,2025,중개거래,서울 종로구,59.92,1,2-1,1,N,25.09.01,동망산길,00047,00000,4100065,02,11110,0,11110,개인,17500,숭인동,11110,2025-07-05,4579.0
104,종로청계힐스테이트,11110-2234,0766,0000,2009,개인,,,85200,19,7,2025,중개거래,서울 종로구,59.9426,14,766,1,N,25.09.30,숭인동길,00021,00000,4100204,01,11110,0,11110,개인,17500,숭인동,11110,2025-07-19,4699.0
로얄팰리스스위트,로얄팰리스스위트,11110-205,0085,0000,2005,개인,,,48000,9,7,2025,중개거래,서울 종로구,39.67,13,85,1,N,25.09.22,율곡로2길,00007,00000,4100234,01,11110,0,11110,개인,12400,수송동,11110,2025-07-09,4000.0
,롯데낙천대,11110-71,0072,0000,2001,개인,25.09.12,O,140000,16,7,2025,중개거래,서울 종로구,133.34,13,72,1,N,,평창문화로,00140,00000,3100023,01,11110,0,11110,개인,18300,평창동,11110,2025-07-16,3471.0
102,삼성,11110-73,0596,0000,1998,개인,,,80500,15,7,2025,중개거래,서울 종로구,84.93,9,596,1,N,25.09.30,평창문화로,00172,00000,3100023,00,11110,,11110,개인,18300,평창동,11110,2025-07-15,3133.0
201,경희궁자이(2단지),11110-2445,0199,0000,2017,개인,,,250000,5,7,2025,중개거래,서울 종로구,84.9071,11,199,1,N,25.09.04,송월길,00099,00000,4100192,01,11110,,11110,개인,17900,홍파동,11110,2025-07-05,9734.0
202,창신쌍용2,11110-91,0703,0000,1993,개인,,,64500,12,7,2025,중개거래,"서울 성북구, 서울 종로구",64.66,5,703,1,N,25.09.25,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동,11110,2025-07-12,3298.0
212,경희궁자이(2단지),11110-2445,0199,0000,2017,개인,,,297000,15,7,2025,중개거래,서울 종로구,101.8976,5,199,1,N,25.09.29,송월길,00099,00000,4100192,01,11110,,11110,개인,17900,홍파동,11110,2025-07-15,9635.0
202,창신쌍용2,11110-91,0703,0000,1993,개인,,,60000,12,7,2025,중개거래,서울 종로구,64.66,6,703,1,N,25.09.22,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동,11110,2025-07-12,3068.0
